64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa k
2 58 37 49 0.0940281 4.17306 44.381
2 58 38 50 0.10779 4.13247 38.3381
2 58 39 51 0.132245 4.28998 32.4396
2 58 40 52 0.163797 4.38215 26.7536
2 58 41 53 0.21518 4.59215 21.3409
2 58 42 54 0.300343 4.88208 16.255
2 58 43 55 0.442604 5.10852 11.542
3 15 4 7 2.16268 8.66514 4.00667
3 15 5 8 0.709179 6.49819 9.16298
3 15 6 9 0.37551 5.30865 14.1372
3 15 7 10 0.284615 4.90903 17.248
3 15 8 11 0.304689 5.25527 17.248
3 15 9 12 0.434217 6.13859 14.1372
3 15 10 13 0.750615 6.87787 9.16298
3 15 11 14 2.03741 8.16321 4.00667
3 25 4 9 2.25143 8.3388 3.70377
3 25 5 10 0.750806 6.30997 8.40426
3 25 6 11 0.390955 5.40756 13.8317
3 25 7 12 0.234415 4.59536 19.6035
3 25 8 13 0.174836 4.41141 25.2317
3 25 9 14 0.150231 4.53085 30.1593
3 25 10 15 0.121718 4.11803 33.8325
3 25 11 16 0.115764 4.14411 35.7978
3 25 12 17 0.116803 4.1813 35.7978
3 25 13 18 0.124906 4.22589 33.8325
3 25 14 19 0.151679 4.57453 30.1593
3 25 15 20 0.186944 4.71692 25.2317
3 25 16 21 0.263495 5.16543 19.6035
3 25 17 22 0.433228 5.99227 13.8317
3 25 18 23 0.849594 7.14021 8.40426
3 25 19 24 2.36168 8.74714 3.70377
3 59 6 18 0.451534 5.21158 11.542
3 59 7 19 0.279761 4.54752 16.255
3 59 8 20 0.203686 4.34684 21.3409
3 59 9 21 0.166643 4.45831 26.7536
3 59 10 22 0.130129 4.22132 32.4396
3 59 11 23 0.108115 4.14493 38.3381
3 59 12 24 0.0929491 4.12517 44.381
3 59 13 25 0.0802532 4.05224 50.4932
3 59 14 26 0.071991 4.07422 56.5934
3 59 15 27 0.0665216 4.1639 62.5948
3 59 16 28 0.0601998 4.11806 68.4065
3 59 17 29 0.0555876 4.10991 73.9358
3 59 18 30 0.05222 4.13004 79.0892
3 59 19 31 0.0489877 4.10398 83.7758
3 59 20 32 0.0470149 4.13304 87.9092
3 59 21 33 0.0453608 4.14646 91.4105
3 59 22 34 0.0441127 4.15588 94.2106
3 59 23 35 0.0433321 4.17085 96.2531
3 59 24 36 0.0427813 4.171 97.4958
3 59 25 37 0.0429033 4.20079 97.913
3 59 26 38 0.0422668 4.12084 97.4958
3 59 27 39 0.0427597 4.11575 96.2531
3 59 28 40 0.0441346 4.15794 94.2106
3 59 29 41 0.0454546 4.15503 91.4105
3 59 30 42 0.0478482 4.2063 87.9092
3 59 31 43 0.0499696 4.18624 83.7758
3 59 32 44 0.0520921 4.11992 79.0892
3 59 33 45 0.056045 4.14373 73.9358
3 59 34 46 0.0606722 4.15037 68.4065
3 59 35 47 0.0655263 4.1016 62.5948
3 59 36 48 0.0732794 4.14713 56.5934
3 59 37 49 0.0824748 4.16442 50.4932
3 59 38 50 0.0928488 4.12072 44.381
3 59 39 51 0.110908 4.25199 38.3381
3 59 40 52 0.133006 4.31467 32.4396
3 59 41 53 0.167225 4.47387 26.7536
3 59 42 54 0.218965 4.67291 21.3409
3 59 43 55 0.295402 4.80177 16.255
3 59 44 56 0.445683 5.14406 11.542
4 16 5 8 2.18328 8.74768 4.00667
4 16 6 9 0.716066 6.5613 9.16298
4 16 7 10 0.372868 5.2713 14.1372
4 16 8 11 0.292995 5.05356 17.248
4 16 9 12 0.322365 5.56013 17.248
4 16 10 13 0.412555 5.83235 14.1372
4 16 11 14 0.69469 6.36543 9.16298
4 16 12 15 1.77179 7.09898 4.00667
4 26 5 10 2.28569 8.46566 3.70377
4 26 6 11 0.780185 6.55688 8.40426
4 26 7 12 0.374948 5.18616 13.8317
4 26 8 13 0.24165 4.7372 19.6035
4 26 9 14 0.19017 4.79832 25.2317
4 26 10 15 0.141565 4.2695 30.1593
4 26 11 16 0.124098 4.19854 33.8325
4 26 12 17 0.116433 4.16806 35.7978
4 26 13 18 0.115098 4.12025 35.7978
4 26 14 19 0.128798 4.35758 33.8325
4 26 15 20 0.147307 4.44268 30.1593
4 26 16 21 0.184409 4.65296 25.2317
4 26 17 22 0.261152 5.1195 19.6035
4 26 18 23 0.410652 5.68 13.8317
4 26 19 24 0.740166 6.22055 8.40426
4 26 20 25 1.88367 6.9767 3.70377
4 60 7 19 0.437906 5.05429 11.542
4 60 8 20 0.284942 4.63173 16.255
4 60 9 21 0.219775 4.69021 21.3409
4 60 10 22 0.163006 4.361 26.7536
4 60 11 23 0.130593 4.23639 32.4396
4 60 12 24 0.109312 4.19083 38.3381
4 60 13 25 0.0921976 4.09182 44.381
4 60 14 26 0.0811353 4.09678 50.4932
4 60 15 27 0.0739801 4.18679 56.5934
4 60 16 28 0.0659262 4.12663 62.5948
4 60 17 29 0.0601109 4.11198 68.4065
4 60 18 30 0.0558257 4.12752 73.9358
4 60 19 31 0.0517399 4.09206 79.0892
4 60 20 32 0.0491701 4.11926 83.7758
4 60 21 33 0.0469842 4.13035 87.9092
4 60 22 34 0.0452312 4.13461 91.4105
4 60 23 35 0.0439675 4.14221 94.2106
4 60 24 36 0.0430368 4.14243 96.2531
4 60 25 37 0.0427544 4.16838 97.4958
4 60 26 38 0.0417964 4.09241 97.913
4 60 27 39 0.0419453 4.08949 97.4958
4 60 28 40 0.0428368 4.12317 96.2531
4 60 29 41 0.0437303 4.11986 94.2106
4 60 30 42 0.04551 4.16009 91.4105
4 60 31 43 0.0470044 4.13212 87.9092
