64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1832
# a b m n r rhoa k
55 58 57 60 -0.742492 11.663 -15.708
55 58 59 62 -2.0243 9.89259 -4.88692
55 58 60 63 -0.558147 7.79321 -13.9626
55 58 61 64 -0.244437 6.91129 -28.2743
55 58 62 1 -0.194142 5.64122 -29.0572
55 58 63 2 -0.125787 5.19891 -41.3309
55 58 64 3 -0.0861054 4.77891 -55.5008
56 59 57 60 3.63061 9.12473 2.51327
56 59 58 61 -0.912794 14.3381 -15.708
56 59 60 63 -1.8609 9.09408 -4.88692
56 59 61 64 -0.56394 7.87408 -13.9626
56 59 62 1 -0.343043 6.42992 -18.7438
56 59 63 2 -0.200177 5.81659 -29.0572
56 59 64 3 -0.126881 5.24411 -41.3309
57 60 58 61 3.4813 8.74946 2.51327
57 60 59 62 -0.782249 12.2875 -15.708
57 60 61 64 -1.85902 9.0849 -4.88692
57 60 62 1 -0.708181 7.39368 -10.4404
57 60 63 2 -0.347864 6.52028 -18.7438
57 60 64 3 -0.198143 5.75749 -29.0572
58 61 59 62 3.75585 9.43948 2.51327
58 61 60 63 -0.746786 11.7305 -15.708
58 61 62 1 -2.15892 9.03269 -4.1839
58 61 63 2 -0.714968 7.46454 -10.4404
58 61 64 3 -0.337787 6.33141 -18.7438
59 62 60 63 3.51251 8.82791 2.51327
59 62 61 64 -0.88985 13.9777 -15.708
59 62 63 2 -2.07421 8.67826 -4.1839
59 62 64 3 -0.670465 6.99991 -10.4404
60 63 61 64 3.57383 8.98201 2.51327
60 63 62 1 -1.46258 9.17461 -6.2729
60 63 64 3 -2.15276 9.00692 -4.1839
61 64 62 1 1.57183 9.8918 6.29317
61 64 63 2 -1.51903 9.52874 -6.2729
62 1 63 2 5.03148 8.03519 1.59698
62 1 64 3 1.91558 6.2222 3.24821
63 2 64 3 4.994 7.97534 1.59698
