64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1400
# a b m n r rhoa
4 60 30 42 0.045468886 4.156332573469759
4 60 31 43 0.047745688 4.197286198744334
4 60 32 44 0.04808885 4.02868207678884
4 60 33 45 0.051171376 4.047103235610187
4 60 34 46 0.055008589 4.067101731955181
4 60 35 47 0.058395842 3.994657376900439
4 60 36 48 0.064250937 4.02177145054201
4 60 37 49 0.071350863 4.037988332143709
4 60 38 50 0.077318366 3.904054515871565
4 60 39 51 0.089967418 3.992843225930954
4 60 40 52 0.103511018 3.968413672446924
4 60 41 53 0.128884297 4.180952589154091
4 60 42 54 0.157886505 4.224032838632151
4 60 43 55 0.196438643 4.192185666956514
4 60 44 56 0.248899859 4.045868891813393
4 60 45 57 0.415112172 4.791205437590336
5 17 6 9 1.99004772 7.9734622923937755
5 17 7 10 0.699134402 6.406153545152355
5 17 8 11 0.333294057 4.7118337243035295
5 17 9 12 0.327890242 5.655437669142635
5 17 10 13 0.297184354 5.1258237513863545
5 17 11 14 0.391150746 5.529763395358964
5 17 12 15 0.555636422 5.091284629147844
5 17 13 16 2.74751686 11.008390331929402
5 27 6 11 2.12893502 7.885090750587671
5 27 7 12 0.741347224 6.230475267035585
5 27 8 13 0.331886128 4.590540773514075
5 27 9 14 0.26591198 5.212815646705778
5 27 10 15 0.164748617 4.156885872074046
5 27 11 16 0.140477811 4.236710966687762
5 27 12 17 0.11976273 4.051876906450773
5 27 13 18 0.116474976 4.1695438579834745
5 27 14 19 0.119022893 4.260753592836751
5 27 15 20 0.130789876 4.4249532234440565
5 27 16 21 0.145518921 4.388747262450367
5 27 17 22 0.177199101 4.471032612620487
5 27 18 23 0.272156477 5.335229881925294
5 27 19 24 0.40883031 5.6548076257751845
5 27 20 25 0.691366895 5.8104275571478885
5 27 21 26 2.15003814 7.963251903820305
5 61 8 20 0.391489536 4.518554068423987
5 61 9 21 0.308067069 5.007632290620262
5 61 10 22 0.202482141 4.321159606640472
5 61 11 23 0.15948035 4.266673934650392
5 61 12 24 0.1286598 4.173670000543569
5 61 13 25 0.107009563 4.102541169982218
5 61 14 26 0.091984043 4.082343043192499
5 61 15 27 0.085713528 4.327953413548391
5 61 16 28 0.071841956 4.065780957497062
5 61 17 29 0.066903914 4.187833887227479
5 61 18 30 0.059550851 4.0736675437927445
5 61 19 31 0.054197847 4.0071589075288205
5 61 20 32 0.051853856 4.101080033424638
5 61 21 33 0.048665811 4.077017448495715
5 61 22 34 0.047106362 4.141083548647462
5 61 23 35 0.045319528 4.142679687394909
5 61 24 36 0.043855863 4.131687255319022
5 61 25 37 0.043520323 4.188963891635385
5 61 26 38 0.041744079 4.069872574512068
5 61 27 39 0.042237874 4.135635733621467
5 61 28 40 0.042882749 4.18088812247564
5 61 29 41 0.041972094 4.039942125942544
5 61 30 42 0.044069794 4.151841823619677
5 61 31 43 0.045890726 4.194893169231715
5 61 32 44 0.045872191 4.032588538476271
5 61 33 45 0.048306117 4.046883794417306
5 61 34 46 0.05138734 4.064183655788361
5 61 35 47 0.053853309 3.981685229290603
5 61 36 48 0.058558495 4.0057839055037086
5 61 37 49 0.064075901 4.010815115576544
5 61 38 50 0.068672327 3.8864008577886078
5 61 39 51 0.078370159 3.9571629482382304
5 61 40 52 0.088311755 3.9193632601729673
5 61 41 53 0.106559073 4.085270248394909
5 61 42 54 0.125824639 4.081698565702141
5 61 43 55 0.150081561 4.015222467158762
