64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1208
# a b m n r rhoa k
11 33 20 25 0.126233 4.51886 35.7978
11 33 21 26 0.134337 4.54497 33.8325
11 33 22 27 0.154883 4.67115 30.1593
11 33 23 28 0.20122 5.07713 25.2317
11 33 24 29 0.278672 5.46296 19.6035
11 33 25 30 0.448676 6.20594 13.8317
11 33 26 31 0.870667 7.31731 8.40426
11 33 27 32 2.10723 7.8047 3.70377
12 24 13 16 2.08844 8.3677 4.00667
12 24 14 17 0.716391 6.56428 9.16298
12 24 15 18 0.441077 6.23558 14.1372
12 24 16 19 0.337983 5.82951 17.248
12 24 17 20 0.321654 5.54788 17.248
12 24 18 21 0.439235 6.20953 14.1372
12 24 19 22 0.82407 7.55093 9.16298
12 24 20 23 2.42468 9.71489 4.00667
12 34 13 18 2.22059 8.22458 3.70377
12 34 14 19 0.775453 6.51711 8.40426
12 34 15 20 0.442703 6.12332 13.8317
12 34 16 21 0.279033 5.47003 19.6035
12 34 17 22 0.19817 5.00018 25.2317
12 34 18 23 0.158067 4.7672 30.1593
12 34 19 24 0.13261 4.48653 33.8325
12 34 20 25 0.125974 4.50958 35.7978
12 34 21 26 0.124354 4.45158 35.7978
12 34 22 27 0.132089 4.46891 33.8325
12 34 23 28 0.156652 4.7245 30.1593
12 34 24 29 0.197918 4.99381 25.2317
12 34 25 30 0.282897 5.54578 19.6035
12 34 26 31 0.463397 6.40956 13.8317
12 34 27 32 0.814565 6.84582 8.40426
12 34 28 33 2.3719 8.78496 3.70377
13 25 14 17 1.95925 7.85006 4.00667
13 25 15 18 0.786121 7.20321 9.16298
13 25 16 19 0.446608 6.31377 14.1372
13 25 17 20 0.324652 5.59958 17.248
13 25 18 21 0.328344 5.66326 17.248
13 25 19 22 0.442381 6.25401 14.1372
13 25 20 23 0.82536 7.56275 9.16298
