,meas,a,b,m,n,r,k,rhoa,ip,v,ctc,stk,day,time,rec_num,rec_fnd,rec_avg,rec_err,rec_ip_avg,rec_ip_err,rec_valid,k_valid,rhoa_valid,v_valid,ctc_valid,stk_valid,valid
706,707,15,27,20,23,0.348176726,17.2479596667675,6.005338126955159,,0.2693867,170.0,0.027321319129712047,170,20191230,933.0,1.0,0.3482123035,0.020434372733182136,0.3482123035,0.020434372733182136,True,True,True,True,True,True,True
707,708,15,27,21,24,0.478507347,14.1371669411541,6.764738247107753,,0.3702244,170.0,0.02811808189843781,170,20191230,983.0,1.0,0.47849481800000004,0.005236838322462716,0.47849481800000004,0.005236838322462716,True,True,True,True,True,True,True
708,709,15,27,22,25,0.84916385,9.16297857297023,7.780870162490907,,0.6570039,170.0,0.022419958237690826,170,20191230,1033.0,1.0,0.849088718,0.017697090635476632,0.849088718,0.017697090635476632,True,True,True,True,True,True,True
709,710,15,27,23,26,2.38239906,4.00666889153481,9.545484200923774,,1.843278,170.0,0.022601040103554643,170,20191230,1083.0,1.0,2.3821999099999998,0.016719839436148482,2.3821999099999998,0.016719839436148482,True,True,True,True,True,True,True
710,711,15,37,16,21,2.41592205,3.7037723916006,8.948025389049123,,1.863942,180.0,0.09483664191267754,180,20191230,749.0,1.0,2.417881675,0.1620943671695614,2.417881675,0.1620943671695614,True,True,True,True,True,True,True
711,712,15,37,17,22,0.828787571,8.40426060195996,6.965346730349393,,0.6394295,180.0,0.08922015640504545,180,20191230,799.0,1.0,0.8289957754999999,0.05023053341240471,0.8289957754999999,0.05023053341240471,True,True,True,True,True,True,True
712,713,15,37,18,23,0.431797299,13.831674138287802,5.972479533560826,,0.333142,180.0,0.08560913964615689,180,20191230,849.0,1.0,0.431849019,0.023952815787212586,0.431849019,0.023952815787212586,True,True,True,True,True,True,True
713,714,15,37,19,24,0.265678347,19.6035381584003,5.208235613275216,,0.2049772,180.0,0.08800978840573487,180,20191230,899.0,1.0,0.26569720399999996,0.014194353358728613,0.26569720399999996,0.014194353358728613,True,True,True,True,True,True,True
714,715,15,37,20,25,0.192977543,25.231689028831397,4.869149354523939,,0.1488868,180.0,0.07818020133416796,180,20191230,949.0,1.0,0.19303602,0.06058662005153362,0.19303602,0.06058662005153362,True,True,True,True,True,True,True
715,716,15,37,21,26,0.150553566,30.159289474462,4.54058857840652,,0.1161557,180.0,0.08075367803732404,180,20191230,999.0,1.0,0.1506027525,0.0653195232935817,0.1506027525,0.0653195232935817,True,True,True,True,True,True,True
716,717,15,37,22,27,0.126055976,33.8325362694285,4.264793379998208,,0.0972552,180.0,0.08030418939038736,180,20191230,1049.0,1.0,0.1260676275,0.018484523316663743,0.1260676275,0.018484523316663743,True,True,True,True,True,True,True
717,718,15,37,23,28,0.115081335,35.797765332731,4.119654624507403,,0.088788,180.0,0.0879623372527819,180,20191230,1099.0,1.0,0.115083716,0.004137857348985407,0.115083716,0.004137857348985407,True,True,True,True,True,True,True
718,719,15,37,24,29,0.114649203,35.797765332731,4.104185264578639,,0.0885175,184.0,0.06574971050922133,184,20191230,1149.0,1.0,0.11464481500000001,0.007654947151340428,0.11464481500000001,0.007654947151340428,True,True,True,True,True,True,True
719,720,15,37,25,30,0.125749024,33.8325362694285,4.254408415325234,,0.0970874,184.0,0.06561098556558317,184,20191230,1199.0,1.0,0.1257635275,0.02306471564263758,0.1257635275,0.02306471564263758,True,True,True,True,True,True,True
720,721,15,37,26,31,0.151825348,30.159289474462,4.57894461989293,,0.1172202,184.0,0.06278781302198767,184,20191230,1249.0,1.0,0.151794734,0.04033605012937835,0.151794734,0.04033605012937835,True,True,True,True,True,True,True
721,722,15,37,27,32,0.19437697,25.231689028831397,4.9044592614064895,,0.1500731,184.0,0.060104042629891705,184,20191230,1299.0,1.0,0.194337961,0.04014552771808336,0.194337961,0.04014552771808336,True,True,True,True,True,True,True
722,723,15,37,28,33,0.277827237,19.6035381584003,5.446396841972424,,0.2145028,184.0,0.06867043227407754,184,20191230,1349.0,1.0,0.2778300505,0.0020253388680890883,0.2778300505,0.0020253388680890883,True,True,True,True,True,True,True
723,724,15,37,29,34,0.450058756,13.831674138287802,6.22506605607518,,0.3474781,184.0,0.06357235175396665,184,20191230,1399.0,1.0,0.45015086049999997,0.040921614543929265,0.45015086049999997,0.040921614543929265,True,True,True,True,True,True,True
724,725,15,37,30,35,0.907453207,8.40426060195996,7.626473235712316,,0.7006199,184.0,0.0664839808289773,184,20191230,1449.0,1.0,0.907555079,0.0224497669303447,0.907555079,0.0224497669303447,True,True,True,True,True,True,True
725,726,15,37,31,36,2.45147033,3.7037723916006,9.079688127082012,,1.892713,184.0,0.062265118906035935,184,20191230,1499.0,1.0,2.45092132,0.04480029575162779,2.45092132,0.04480029575162779,True,True,True,True,True,True,True
726,727,16,19,8,20,2.54522746,4.00666889153481,10.197883685862159,,1.77838,186.0,0.07408990204568203,186,20191230,356.0,2.0,2.546615365,0.10899997063357686,2.546615365,0.10899997063357686,True,True,True,True,True,True,True
727,728,16,19,9,21,0.868374968,9.16297857297023,7.95690122508771,,0.6067436,186.0,0.08753285572357086,186,20191230,414.0,2.0,0.868481117,0.024444745642063243,0.868481117,0.024444745642063243,True,True,True,True,True,True,True
728,729,16,19,10,22,0.463432389,14.1371669411541,6.551621049230866,,0.3238056,186.0,0.08199364062882174,186,20191230,473.0,2.0,0.4633829545,0.021336348055073187,0.4633829545,0.021336348055073187,True,True,True,True,True,True,True
729,730,16,19,11,23,0.337672123,17.2479596667675,5.824155158095754,,0.2359354,186.0,0.07319800250407527,186,20191230,517.0,2.0,0.33761967849999996,0.03106720569902945,0.33761967849999996,0.03106720569902945,True,True,True,True,True,True,True
730,731,16,19,12,24,0.335713604,17.2479596667675,5.790374701377156,,0.234567,186.0,0.07362501971718102,186,20191230,562.0,2.0,0.33564724349999997,0.039541811401767796,0.33564724349999997,0.039541811401767796,True,True,True,True,True,True,True
