64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1832
# a b m n r rhoa
4 7 62 1 -0.355019518 6.6544118523423155
4 7 63 2 -0.724055169 7.559408433603365
4 7 64 3 -2.21083433 9.249902586393228
5 8 6 9 3.63445321 9.134377203481458
5 8 7 10 -0.923746388 14.510174331604563
5 8 9 12 -1.86165319 9.097753754811555
5 8 10 13 -0.540517497 7.547047989830837
5 8 11 14 -0.231232769 6.537952515236623
5 8 12 15 -0.121661107 5.945483288559136
5 8 13 16 -0.068344297 5.2484652334878845
5 8 14 17 -0.04397836 4.973835336945399
5 8 15 18 -0.030965606 4.918111194135332
5 8 16 19 -0.021354653 4.591774947401312
5 8 17 20 -0.014872821 4.205191067258034
5 8 18 21 -0.011099345 4.029378393347222
5 8 19 22 -0.008492421 3.8804181332280314
5 8 20 23 -0.006941828 3.925511252511108
5 8 21 24 -0.005629317 3.882844595721115
5 8 22 25 -0.004586348 3.8102311663314423
5 8 23 26 -0.003655814 3.6177996976665683
5 8 24 27 -0.0030362 3.544084009776564
5 8 25 28 -0.00258368 3.5263291243619097
5 8 26 29 -0.002264732 3.5858921684290683
5 8 27 30 -0.001979343 3.6100624733235835
5 8 28 31 -0.001718219 3.586634026910807
5 8 29 32 -0.001515821 3.600141641024388
5 8 30 33 -0.001360129 3.6557643124861428
5 8 31 34 -0.00118593 3.5895136142277595
5 8 32 35 -0.001068131 3.6240831028852547
5 8 33 36 -0.000925529 3.505315656873837
5 8 34 37 -0.000830893 3.498998787410233
5 8 35 38 -0.000719854 3.358309736514966
5 8 36 39 -0.000657517 3.386748879046006
5 8 37 40 -0.000600262 3.4027828795920994
5 8 38 41 -0.000553661 3.4439671137548227
5 8 39 42 -0.000526763 3.585378128821796
5 8 40 43 -0.000484678 3.600246973739187
5 8 41 44 -0.000442648 3.579455120480011
5 8 42 45 -0.000394462 3.4643612511577873
5 8 43 46 -0.000372956 3.5495268330115097
5 8 44 47 -0.000338932 3.488239857429087
5 8 45 48 -0.000323684 3.5952473175264483
5 8 46 49 -0.000292252 3.4966727522095225
5 8 47 50 -0.000270449 3.4792782224819865
5 8 48 51 -0.000245479 3.389830567810941
5 8 49 52 -0.00023675 3.5034969714334228
5 8 50 53 -0.000229351 3.6314581801352266
5 8 54 57 -0.000160633 3.286013878160227
