64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1392
# a b m n r rhoa
5 17 8 11 0.343528431 4.856518778079737
5 17 9 12 0.325783435 5.619099546980972
5 17 10 13 0.306662617 5.28930444932137
5 17 11 14 0.393359116 5.560983490716801
5 17 12 15 0.582685465 5.339134430576195
5 17 13 16 2.62970129 10.536342352671959
5 27 6 11 2.16160379 8.006088438981221
5 27 7 12 0.734924784 6.176499407575134
5 27 8 13 0.341848221 4.7283331976253935
5 27 9 14 0.264733875 5.189720620383675
5 27 10 15 0.168592323 4.253869066584299
5 27 11 16 0.140675034 4.242659072235784
5 27 12 17 0.121206859 4.100735453221007
5 27 13 18 0.115787678 4.14494012546582
5 27 14 19 0.120407959 4.310335860475095
5 27 15 20 0.131462486 4.447709325664237
5 27 16 21 0.14674009 4.425576851818606
5 27 17 22 0.181866544 4.588800082956283
5 27 18 23 0.273379745 5.359210262841244
5 27 19 24 0.417726512 5.777856992907569
5 27 20 25 0.7209877 6.059368521607727
5 27 21 26 2.13017713 7.889691243313001
5 61 8 20 0.400823307 4.626284020434219
5 61 9 21 0.307178192 4.993183588972149
5 61 10 22 0.205433079 4.384135403045648
5 61 11 23 0.159772318 4.274485130546012
5 61 12 24 0.129527273 4.201810461172154
5 61 13 25 0.106761965 4.09304873808989
5 61 14 26 0.092267035 4.094902508778058
5 61 15 27 0.085209888 4.302523000076208
5 61 16 28 0.07230272 4.091857161450922
5 61 17 29 0.066833151 4.183404494810141
5 61 18 30 0.059782498 4.089513713069435
5 61 19 31 0.054320178 4.016203542757909
5 61 20 32 0.051862482 4.101762256871402
5 61 21 33 0.048889148 4.095727685255042
5 61 22 34 0.047226453 4.151640654807361
5 61 23 35 0.045338596 4.144422702376867
5 61 24 36 0.043852597 4.131379563492826
5 61 25 37 0.043466754 4.18380771191882
5 61 26 38 0.041865313 4.081692380901817
5 61 27 39 0.042097641 4.1219051039540515
5 61 28 40 0.042631333 4.156376117235483
5 61 29 41 0.04212985 4.055126622337225
5 61 30 42 0.044195043 4.163641607312029
5 61 31 43 0.045747186 4.181772109314042
5 61 32 44 0.04596833 4.041040042994566
5 61 33 45 0.048326983 4.0486318603455675
5 61 34 46 0.0513119 4.0582171664742095
5 61 35 47 0.053941452 3.9882021488203825
5 61 36 48 0.058786557 4.021384837342154
5 61 37 49 0.064099125 4.012268816090941
5 61 38 50 0.069142535 3.9130115298652806
5 61 39 51 0.078841177 3.980946171359588
5 61 40 52 0.08917785 3.9578014151254934
5 61 41 53 0.10689569 4.09817549781655
5 61 42 54 0.126959733 4.1185205394312865
5 61 43 55 0.151567283 4.054970883383937
5 61 44 56 0.184952205 3.947054260973504
5 61 45 57 0.265071636 4.308741236347921
5 61 46 58 0.406075302 4.686902303152745
6 18 7 10 2.13382703 8.549538381017115
6 18 8 11 0.577504117 5.2916578498730935
6 18 9 12 0.423217866 5.983101624120986
6 18 10 13 0.291476967 5.027382970607721
6 18 11 14 0.284264179 4.902977094098777
6 18 12 15 0.314560463 4.446993778517728
6 18 13 16 0.737144028 6.754434933756968
6 18 14 17 2.05616901 8.238388408104928
6 28 7 12 2.24206825 8.304110484434272
6 28 8 13 0.626071322 5.261666545501588
6 28 9 14 0.420374144 5.814478175969673
6 28 10 15 0.23442197 4.595500034062371
6 28 11 16 0.176300449 4.44835810481135
6 28 12 17 0.140799563 4.246414778394749
6 28 13 18 0.124396912 4.208663037044905
6 28 14 19 0.120336737 4.307786272032567
6 28 15 20 0.125254498 4.4838311262730235
6 28 16 21 0.128972585 4.3634696597744504
6 28 17 22 0.14879494 4.4875496677952045
6 28 18 23 0.201443639 5.0827632560841725
6 28 19 24 0.276434745 5.419099071915157
6 28 20 25 0.41600549 5.754052377418745
6 28 21 26 0.840959274 7.067640894331051
6 28 22 27 2.5118506 9.303322904105402
6 62 9 21 0.479813878 5.537989527574986
6 62 10 22 0.286173536 4.651752763598956
6 62 11 23 0.208474731 4.449047121654241
6 62 12 24 0.161910302 4.331683905225774
6 62 13 25 0.128901028 4.181495335783413
6 62 14 26 0.108399798 4.155840110409161
6 62 15 27 0.098626439 4.377139164523344
6 62 16 28 0.081984094 4.139642221750249
6 62 17 29 0.0745802 4.2207475109158
6 62 18 30 0.065639538 4.108690585402162
6 62 19 31 0.058973538 4.034175560198595
6 62 20 32 0.055751464 4.122026758283819
6 62 21 33 0.052037531 4.115606742395698
6 62 22 34 0.049815014 4.173292853889937
6 62 23 35 0.047285119 4.15679793711808
6 62 24 36 0.045356617 4.146070010589048
6 62 25 37 0.044606694 4.202423495843999
6 62 26 38 0.042670444 4.107160444467515
6 62 27 39 0.042614126 4.15469850692362
6 62 28 40 0.042819333 4.192568111847601
6 62 29 41 0.042007092 4.095515238599594
6 62 30 42 0.043697786 4.206045246916258
6 62 31 43 0.04492619 4.232523406346852
6 62 32 44 0.044859946 4.100669077397111
6 62 33 45 0.046808742 4.114920006539318
6 62 34 46 0.049302104 4.130323406211198
6 62 35 47 0.051345587 4.060881444384149
6 62 36 48 0.055478583 4.101851094666675
6 62 37 49 0.059900303 4.097572345262553
6 62 38 50 0.064078837 4.010998893767651
6 62 39 51 0.072178509 4.084827637943632
6 62 40 52 0.080527227 4.066080292229206
6 62 41 53 0.094905385 4.2119950980656045
6 62 42 54 0.11040909 4.232872507527874
6 62 43 55 0.128910298 4.181796050699067
6 62 44 56 0.153154677 4.0974393919106635
6 62 45 57 0.206960991 4.41674248426424
6 62 46 58 0.291383519 4.73644107250867
6 62 47 59 0.452071194 5.217784755467869
7 19 8 11 1.40902322 5.6454895030242085
7 19 9 12 0.729733706 6.686534312052157
7 19 10 13 0.363546963 5.139524106880573
7 19 11 14 0.276310639 4.765794756970755
7 19 12 15 0.241961972 4.173350333947527
7 19 13 16 0.383176193 5.4170258083168825
7 19 14 17 0.68657961 6.2911142550682575
7 19 15 18 2.52045959 10.098647031623582
7 29 8 13 1.51567421 5.61371229365905
7 29 9 14 0.774166385 6.5062960488172665
7 29 10 15 0.354443377 4.902545291138294
7 29 11 16 0.235866797 4.623823755289157
7 29 12 17 0.172873506 4.361890544715819
7 29 13 18 0.140069923 4.224409354422603
7 29 14 19 0.125458971 4.2445951866826785
7 29 15 20 0.123915511 4.435898383863447
7 29 16 21 0.116970413 4.187279395446627
7 29 17 22 0.124916031 4.226226149440555
7 29 18 23 0.151613033 4.5725413503481604
7 29 19 24 0.186925083 4.716435565944498
7 29 20 25 0.249645058 4.8939264205590565
7 29 21 26 0.394598771 5.457961615840851
7 29 22 27 0.733376256 6.163485174713702
7 29 23 28 1.98289303 7.3441844600112605
7 63 10 22 0.424583492 4.9005229737794656
7 63 11 23 0.283051534 4.6010045999691025
7 63 12 24 0.207751062 4.4336033435712245
7 63 13 25 0.158714433 4.246182895472176
7 63 14 26 0.129310899 4.1947913792779055
7 63 15 27 0.115638857 4.433371732320657
7 63 16 28 0.093931041 4.1687527451492805
7 63 17 29 0.084014998 4.242189137091186
7 63 18 30 0.072688964 4.113716024816884
7 63 19 31 0.064416634 4.032143213120982
7 63 20 32 0.060194039 4.117665808068715
7 63 21 33 0.055645531 4.114194521616719
7 63 22 34 0.052773361 4.17380294907693
7 63 23 35 0.049535491 4.149875589801687
7 63 24 36 0.047118355 4.142137843925007
7 63 25 37 0.045887748 4.194620948830191
7 63 26 38 0.043507762 4.098892450545398
