64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
1907
# a b m n r rhoa
3 6 18 21 -0.006890171 3.8962999072039404
3 6 19 22 -0.005527972 3.8129414643903767
3 6 20 23 -0.004698447 3.9033604063094356
3 6 21 24 -0.003936638 3.895703601502354
3 6 22 25 -0.003291891 3.8425460295854625
3 6 23 26 -0.002672505 3.6475617013340758
3 6 24 27 -0.002245062 3.554747424171028
3 6 25 28 -0.001961447 3.577422512476676
3 6 26 29 -0.001751337 3.655764996655195
3 6 27 30 -0.001545435 3.670476195406004
3 6 28 31 -0.001361431 3.6592638372627313
3 6 29 32 -0.001210063 3.662558171707677
3 6 30 33 -0.001076937 3.6539611569853676
3 6 31 34 -0.000972039 3.681465978691092
3 6 32 35 -0.000886477 3.733070260631707
3 6 33 36 -0.000791161 3.6909757943290122
3 6 34 37 -0.000701637 3.6140028672219917
3 6 35 38 -0.000608909 3.4518012475044992
3 6 36 39 -0.000554911 3.4517425555724572
3 6 37 40 -0.000510375 3.4738342717643875
3 6 38 41 -0.000474282 3.5230242247408983
3 6 39 42 -0.000444195 3.591964873311567
3 6 40 43 -0.000419802 3.6869097199693286
3 6 41 44 -0.00038412 3.655777751521308
3 6 43 46 -0.000311864 3.463959322774892
3 6 44 47 -0.00029245 3.499041739265
3 6 45 48 -0.000281171 3.6172148430701627
3 6 46 49 -0.000264464 3.651995287929121
3 6 47 50 -0.000243283 3.600174250058025
3 6 48 51 -0.000226677 3.589119061606502
3 6 49 52 -0.000216007 3.6539917306159833
3 6 50 53 -0.000213242 3.8483153536579744
3 6 51 54 -0.000192852 3.707878049752044
3 6 52 55 -0.000183115 3.7459203980459175
3 6 53 56 -0.000171317 3.7241019375831557
3 6 54 57 -0.00016803 3.876764038951425
3 6 55 58 -0.000160229 3.9190481830993154
3 6 56 59 -0.00015346 3.974719288843849
3 6 58 61 -0.000140505 4.0678335469156535
3 6 62 1 -0.694927736 7.2553070721373345
3 6 63 2 -1.99385669 8.342090541776797
4 7 5 8 3.28822879 8.264220327989149
4 7 6 9 -0.736084134 11.562382538992049
4 7 8 11 -1.81441588 8.866908709811687
4 7 9 12 -0.551945137 7.706607944816922
4 7 10 13 -0.241302799 6.822675905661482
4 7 11 14 -0.125173934 6.1171524007274085
4 7 12 15 -0.073227037 5.623432747370727
4 7 13 16 -0.04488558 5.07643950168423
4 7 14 17 -0.030654402 4.8686842306824065
4 7 15 18 -0.022526045 4.8436530012936565
4 7 16 19 -0.0161414 4.56387332927888
4 7 17 20 -0.011600813 4.2114255613697535
4 7 18 21 -0.008869343 4.052644046617461
4 7 19 22 -0.006977994 3.94596264369486
4 7 20 23 -0.005820846 4.014952512644939
4 7 21 24 -0.004810572 3.9965112464822514
4 7 22 25 -0.003970539 3.9292520882553985
4 7 23 26 -0.003191891 3.7258184092120827
4 7 24 27 -0.002655874 3.62486292297636
4 7 25 28 -0.002295128 3.6340200609795197
4 7 26 29 -0.002031999 3.7061001229857826
4 7 27 30 -0.001798287 3.7537690738790306
4 7 28 31 -0.001576393 3.7440028089855977
4 7 29 32 -0.001384323 3.720793116207179
4 7 30 33 -0.001239467 3.7515567283786044
4 7 31 34 -0.001092618 3.7071655365383847
