vtk_name,datetime,reg_name,reg_group,xmin,xmax,ymin,ymax,zmin,zmax,ravg,rnum,datetimems
inversion/./GRAD_MMDCCC20200320_1201_inv.vtk,2020-03-20 12:01:21,d000_025,,10,20,-0.25,-0.0,,,9.788439007251672,200.0,2020-03-20 12:01:21
inversion/./GRAD_MMDCCC20200320_1201_inv.vtk,2020-03-20 12:01:21,d025_050,,10,20,-0.5,-0.25,,,8.845502987108,53.0,2020-03-20 12:01:21
inversion/./GRAD_MMDCCC20200320_1201_inv.vtk,2020-03-20 12:01:21,d050_075,,10,20,-0.75,-0.5,,,7.942015037492704,47.0,2020-03-20 12:01:21
inversion/./GRAD_MMDCCC20200320_1201_inv.vtk,2020-03-20 12:01:21,d075_100,,10,20,-1.0,-0.75,,,6.217109511918365,23.0,2020-03-20 12:01:21
inversion/./GRAD_MMDCCC20200320_1201_inv.vtk,2020-03-20 12:01:21,d100_150,,10,20,-1.5,-1.0,,,5.434846241242971,35.0,2020-03-20 12:01:21
inversion/./GRAD_MMDCCC20200324_1359_inv.vtk,2020-03-24 14:00:01,d000_025,,10,20,-0.25,-0.0,,,8.947915166364174,200.0,2020-03-24 14:00:01
inversion/./GRAD_MMDCCC20200324_1359_inv.vtk,2020-03-24 14:00:01,d025_050,,10,20,-0.5,-0.25,,,8.409578181245417,53.0,2020-03-24 14:00:01
inversion/./GRAD_MMDCCC20200324_1359_inv.vtk,2020-03-24 14:00:01,d050_075,,10,20,-0.75,-0.5,,,7.815591725579955,47.0,2020-03-24 14:00:01
inversion/./GRAD_MMDCCC20200324_1359_inv.vtk,2020-03-24 14:00:01,d075_100,,10,20,-1.0,-0.75,,,6.509018397240584,23.0,2020-03-24 14:00:01
inversion/./GRAD_MMDCCC20200324_1359_inv.vtk,2020-03-24 14:00:01,d100_150,,10,20,-1.5,-1.0,,,5.8043030469869255,35.0,2020-03-24 14:00:01
inversion/./GRAD_MMDCCC20200326_1227_inv.vtk,2020-03-26 12:27:16,d000_025,,10,20,-0.25,-0.0,,,8.72170268327823,200.0,2020-03-26 12:27:16
inversion/./GRAD_MMDCCC20200326_1227_inv.vtk,2020-03-26 12:27:16,d025_050,,10,20,-0.5,-0.25,,,8.181597645138618,53.0,2020-03-26 12:27:16
inversion/./GRAD_MMDCCC20200326_1227_inv.vtk,2020-03-26 12:27:16,d050_075,,10,20,-0.75,-0.5,,,7.571908618246968,47.0,2020-03-26 12:27:16
inversion/./GRAD_MMDCCC20200326_1227_inv.vtk,2020-03-26 12:27:16,d075_100,,10,20,-1.0,-0.75,,,6.292470640898766,23.0,2020-03-26 12:27:16
inversion/./GRAD_MMDCCC20200326_1227_inv.vtk,2020-03-26 12:27:16,d100_150,,10,20,-1.5,-1.0,,,5.611410481250625,35.0,2020-03-26 12:27:16
