,k,rhoa,r
561,-14798.297661809585,1.0,-6.757534027584337e-05
562,-15833.626974093131,1.0,-6.315672344916253e-05
563,-16916.080176179392,1.0,-5.9115349985640504e-05
564,-18046.704465621136,1.0,-5.541177902619251e-05
565,-19226.547039968704,1.0,-5.201141931107915e-05
566,-20456.65509677482,1.0,-4.8883847103511034e-05
567,-21738.075833590116,1.0,-4.600223164438408e-05
568,-23071.856447964212,1.0,-4.3342849425895974e-05
569,-108.4984980905439,1.0,-0.009216717444009984
570,-89.19155184041145,1.0,-0.011211824207176917
571,-71.4868073369972,1.0,-0.013988595060426781
572,2.5132741228718345,1.0,0.3978873577297384
573,-15.70796326794897,1.0,-0.06366197723675812
574,-4.886921905584123,1.0,-0.204627783975294
575,-13.962634015954636,1.0,-0.0716197243913529
576,-28.274333882308145,1.0,-0.03536776513153229
577,-48.869219055841214,1.0,-0.020462778397529406
578,-76.79448708775051,1.0,-0.013021768071155071
579,-113.09733552923261,1.0,-0.00884194128288307
580,-158.82496193148398,1.0,-0.006296239506932123
581,-215.0245638457016,1.0,-0.00465063145398395
582,-282.74333882308133,1.0,-0.0035367765131532306
583,-363.0284844148207,1.0,-0.0027546047842828027
584,-456.92719817211463,1.0,-0.00218853244893363
585,-565.4866776461632,1.0,-0.0017683882565766135
586,-689.7541203881602,1.0,-0.001449791991727789
587,-830.7767239493037,1.0,-0.00120369284691349
588,-989.6016858807833,1.0,-0.0010105075751866387
589,-1167.2762037338007,1.0,-0.0008566952678391546
590,-1364.8474750595656,1.0,-0.0007326826024690834
591,-1583.3626974092565,1.0,-0.0006315672344916479
592,-1823.86906833408,1.0,-0.000548284971417054
593,-2087.4137853852153,1.0,-0.0004790617016144013
594,-2375.044046113875,1.0,-0.00042104482299443365
595,-2687.807048071285,1.0,-0.000372050516318714
596,-3026.7499888085767,1.0,-0.00033038738042372347
597,-3392.9200658769864,1.0,-0.00029473137609610164
598,-3787.3644768276736,1.0,-0.00026403585029070344
599,-4211.130419211901,1.0,-0.000237465929679553
600,-4665.265090580819,1.0,-0.00021435009170625745
601,-5150.815688485627,1.0,-0.00019414400756669406
602,-5668.829410477594,1.0,-0.00017640326204766688
603,-6220.353454107875,1.0,-0.00016076256877969007
